"subject","item","sound","block_contrast","type","block_G","response","adjusted_response_time"
7,47,"-0.5","block2","Vowel","block2","1",-629.5
7,48,"0.5","block2","Consonant","block2","1",-675.5
7,49,"-0.5","block2","Vowel","block2","1",-551.5
7,50,"0.5","block2","Consonant","block2","0",735.5
7,51,"-0.5","block2","Vowel","block2","1",-403.5
7,52,"0.5","block2","Consonant","block2","1",-306.5
7,53,"-0.5","block2","Vowel","block2","1",-767.5
7,54,"0.5","block2","Consonant","block2","1",-775.5
7,55,"0.5","block2","Consonant","block2","0",170.5
7,56,"-0.5","block2","Vowel","block2","1",-589.5
7,57,"0.5","block2","Consonant","block2","0",128.5
7,58,"-0.5","block2","Vowel","block2","1",-54.5
7,59,"-0.5","block2","Vowel","block2","1",187.5
7,60,"0.5","block2","Consonant","block2","1",-665.5
7,61,"0.5","block2","Consonant","block2","1",-186.5
7,62,"-0.5","block2","Vowel","block2","1",-589.5
7,63,"-0.5","block2","Vowel","block2","1",-450.5
7,64,"0.5","block2","Consonant","block2","1",206.5
7,65,"-0.5","block3","Vowel","block3","1",61
7,66,"0.5","block3","Consonant","block3","1",-319
7,67,"0.5","block3","Consonant","block3","1",-37
7,68,"-0.5","block3","Vowel","block3","1",79
7,69,"0.5","block3","Consonant","block3","0",875
7,70,"-0.5","block3","Vowel","block3","1",-391
7,71,"0.5","block3","Consonant","block3","0",942
7,72,"-0.5","block3","Vowel","block3","1",254
7,73,"0.5","block3","Consonant","block3","1",-60
7,74,"-0.5","block3","Vowel","block3","1",-5
7,75,"-0.5","block3","Vowel","block3","1",265
7,76,"0.5","block3","Consonant","block3","1",-21
7,77,"0.5","block3","Consonant","block3","1",-383
7,78,"-0.5","block3","Vowel","block3","1",298
7,79,"-0.5","block3","Vowel","block3","1",-286
7,80,"0.5","block3","Consonant","block3","0",606
7,81,"-0.5","block3","Vowel","block3","1",-269
7,82,"0.5","block3","Consonant","block3","1",475
7,83,"-0.5","block3","Vowel","block3","0",79
7,84,"0.5","block3","Consonant","block3","1",303
7,85,"-0.5","block3","Vowel","block3","1",-129
7,86,"0.5","block3","Consonant","block3","1",-239
7,87,"-0.5","block3","Vowel","block3","1",-57
7,88,"0.5","block3","Consonant","block3","1",614
7,89,"0.5","block3","Consonant","block3","1",-468
7,90,"-0.5","block3","Vowel","block3","1",1044
7,91,"-0.5","block3","Vowel","block3","1",-276
7,92,"0.5","block3","Consonant","block3","0",224
7,93,"0.5","block3","Consonant","block3","1",547
7,94,"-0.5","block3","Vowel","block3","1",-285
7,95,"0.5","block3","Consonant","block3","1",1522
7,96,"-0.5","block3","Vowel","block3","0",-88
8,1,"0.5","block1","Consonant","block1","1",361.75
8,2,"-0.5","block1","Vowel","block1","1",293.75
8,3,"-0.5","block1","Vowel","block1","1",NA
8,4,"0.5","block1","Consonant","block1","1",-290.25
8,5,"0.5","block1","Consonant","block1","1",NA
8,6,"-0.5","block1","Vowel","block1","1",117.75
8,7,"0.5","block1","Consonant","block1","1",-172.25
8,8,"-0.5","block1","Vowel","block1","1",457.75
8,9,"-0.5","block1","Vowel","block1","1",731.75
8,10,"0.5","block1","Consonant","block1","1",726.75
8,11,"-0.5","block1","Vowel","block1","1",295.75
8,12,"0.5","block1","Consonant","block1","0",453.75
8,13,"0.5","block1","Consonant","block1","1",871.75
8,14,"-0.5","block1","Vowel","block1","0",49.75
8,15,"-0.5","block1","Vowel","block1","1",1240.75
8,16,"0.5","block1","Consonant","block1","1",209.75
8,17,"-0.5","block1","Vowel","block1","1",-124.25
8,18,"0.5","block1","Consonant","block1","1",-325.25
8,19,"0.5","block1","Consonant","block1","1",-149.25
8,20,"-0.5","block1","Vowel","block1","1",32.75
8,21,"0.5","block1","Consonant","block1","1",-77.25
8,22,"-0.5","block1","Vowel","block1","1",-139.25
8,23,"-0.5","block1","Vowel","block1","1",-5.25
8,24,"0.5","block1","Consonant","block1","1",-152.25
8,25,"0.5","block1","Consonant","block1","1",362.75
8,26,"-0.5","block1","Vowel","block1","1",424.75
8,27,"-0.5","block1","Vowel","block1","1",-226.25
8,28,"0.5","block1","Consonant","block1","1",-4.25
8,29,"-0.5","block1","Vowel","block1","1",119.75
8,30,"0.5","block1","Consonant","block1","1",-288.25
8,31,"0.5","block1","Consonant","block1","1",-165.25
8,32,"-0.5","block1","Vowel","block1","1",-155.25
8,33,"-0.5","block2","Vowel","block2","1",-2.625
8,34,"0.5","block2","Consonant","block2","1",-191.625
8,35,"-0.5","block2","Vowel","block2","1",-73.625
8,36,"0.5","block2","Consonant","block2","1",-169.625
8,37,"0.5","block2","Consonant","block2","1",-106.625
8,38,"-0.5","block2","Vowel","block2","1",-209.625
8,39,"-0.5","block2","Vowel","block2","1",296.375
8,40,"0.5","block2","Consonant","block2","1",172.375
8,41,"0.5","block2","Consonant","block2","1",-336.625
8,42,"-0.5","block2","Vowel","block2","1",-133.625
8,43,"0.5","block2","Consonant","block2","1",-221.625
8,44,"-0.5","block2","Vowel","block2","1",23.375
8,45,"-0.5","block2","Vowel","block2","0",542.375
8,46,"0.5","block2","Consonant","block2","1",-309.625
8,47,"-0.5","block2","Vowel","block2","1",-217.625
8,48,"0.5","block2","Consonant","block2","1",-155.625
8,49,"-0.5","block2","Vowel","block2","1",-181.625
8,50,"0.5","block2","Consonant","block2","1",-325.625
8,51,"-0.5","block2","Vowel","block2","1",-298.625
8,52,"0.5","block2","Consonant","block2","1",-260.625
8,53,"-0.5","block2","Vowel","block2","1",203.375
